,,Base,Base,Base,Random Sampling,Random Sampling,Random Sampling,SMOTE Sampling,SMOTE Sampling,SMOTE Sampling,Min Max Scaler,Min Max Scaler,Min Max Scaler,Standard Scaler,Standard Scaler,Standard Scaler,Min Max Scaler (Log),Min Max Scaler (Log),Min Max Scaler (Log),Standard Scaler (Log),Standard Scaler (Log),Standard Scaler (Log),Feature Selection,Feature Selection,Feature Selection,Grid Search CV,Grid Search CV,Grid Search CV
,,k-Nearest Neighbor,Gaussian Naive Bayes,Decision Tree,k-Nearest Neighbor,Gaussian Naive Bayes,Decision Tree,k-Nearest Neighbor,Gaussian Naive Bayes,Decision Tree,k-Nearest Neighbor,Gaussian Naive Bayes,Decision Tree,k-Nearest Neighbor,Gaussian Naive Bayes,Decision Tree,k-Nearest Neighbor,Gaussian Naive Bayes,Decision Tree,k-Nearest Neighbor,Gaussian Naive Bayes,Decision Tree,k-Nearest Neighbor,Gaussian Naive Bayes,Decision Tree,k-Nearest Neighbor,Gaussian Naive Bayes,Decision Tree
0,precision,0.4356354720065386,0.048838594401429423,0.5410460685833045,0.47899938233477457,0.3789615643964936,0.6363636363636364,0.8798340613095594,0.3871154542164314,0.8606930420609217,0.0,0.04978720281772821,0.03067484662576687,0.0,0.04978720281772821,0.0,0.0,0.03259726603575184,0.06211544096103135,0.0,0.03539493293591654,0.04855631276901004,0.6473551637279596,0.0,0.5356290487555404,0.8284237726098191,0.0,0.6162852581160192
0,recall,0.39277818717759766,0.03021370670596905,0.5755342667649226,0.623642943305187,0.2259750703659027,0.6501809408926418,0.9495049504950495,0.23021954369349978,0.8751614291863969,0.0,1.0,0.007369196757553427,0.0,1.0,0.0,0.0,0.06853352984524687,0.07811348563006633,0.0,0.07000736919675755,0.39904200442151805,0.5681650700073692,0.0,0.5788504053058217,0.5906411201179071,0.0,0.4266764922623434
0,f1-score,0.41309823677581864,0.0373321192806738,0.55775754329584,0.5418340611353711,0.28312342569269516,0.6431980906921242,0.9133427882276214,0.2887299230665407,0.8678669384531648,0.0,0.09485199035403488,0.011883541295306001,0.0,0.09485199035403488,0.0,0.0,0.04418052256532066,0.0692018932593439,0.0,0.047018064835436774,0.08657766408186106,0.6051805337519622,0.0,0.5564016291836373,0.6896106689610668,0.0,0.504245591116917
0,support,2714.0,2714.0,2714.0,2487.0,2487.0,2487.0,46460.0,46460.0,46460.0,2714.0,2714.0,2714.0,2714.0,2714.0,2714.0,2714.0,2714.0,2714.0,2714.0,2714.0,2714.0,2714.0,2714.0,2714.0,2714.0,2714.0,2714.0
1,precision,0.32669322709163345,0.0,0.4614848379226211,0.4558436677940624,0.0,0.5574402467232074,0.8627893175074184,0.0,0.847457627118644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0531015037593985,0.0,0.0,0.0,0.6616577799321377,0.0,0.46397188049209137,0.8449744463373083,0.0,0.5689922480620155
1,recall,0.2208541746825702,0.0,0.5094267025779146,0.4883252818035427,0.0,0.5821256038647343,0.9360030903940252,0.0,0.8552236243454374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.5252020007695267,0.0,0.5078876490958061,0.5725278953443632,0.0,0.28241631396691036
1,f1-score,0.26354453627180896,0.0,0.48427212874908554,0.4715257531584062,0.0,0.5695155573060261,0.8979062442097462,0.0,0.851322915220201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04781045060291939,0.0,0.0,0.0,0.5855855855855856,0.0,0.4849375459221161,0.6825688073394495,0.0,0.37747492928773463
1,support,2599.0,2599.0,2599.0,2484.0,2484.0,2484.0,46596.0,46596.0,46596.0,2599.0,2599.0,2599.0,2599.0,2599.0,2599.0,2599.0,2599.0,2599.0,2599.0,2599.0,2599.0,2599.0,2599.0,2599.0,2599.0,2599.0,2599.0
2,precision,0.37366310160427807,0.0,0.42646093237032173,0.46798710271764166,0.0,0.5458151527171757,0.862081946425741,0.0,0.8469681770644356,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.06028761061946902,0.0,0.0,0.06447478049093124,0.6965879265091863,0.0,0.414002557544757,0.8743362831858407,0.0,0.6245980707395499
