,,Base,Base,Base,Random Sampling,Random Sampling,Random Sampling,SMOTE Sampling,SMOTE Sampling,SMOTE Sampling,Min Max Scaler,Min Max Scaler,Min Max Scaler,Standard Scaler,Standard Scaler,Standard Scaler,Min Max Scaler (Log),Min Max Scaler (Log),Min Max Scaler (Log),Standard Scaler (Log),Standard Scaler (Log),Standard Scaler (Log),Feature Selection,Feature Selection,Feature Selection,Grid Search CV,Grid Search CV,Grid Search CV
,,k-Nearest Neighbor,Gaussian Naive Bayes,Decision Tree,k-Nearest Neighbor,Gaussian Naive Bayes,Decision Tree,k-Nearest Neighbor,Gaussian Naive Bayes,Decision Tree,k-Nearest Neighbor,Gaussian Naive Bayes,Decision Tree,k-Nearest Neighbor,Gaussian Naive Bayes,Decision Tree,k-Nearest Neighbor,Gaussian Naive Bayes,Decision Tree,k-Nearest Neighbor,Gaussian Naive Bayes,Decision Tree,k-Nearest Neighbor,Gaussian Naive Bayes,Decision Tree,k-Nearest Neighbor,Gaussian Naive Bayes,Decision Tree
0,precision,0.4529983792544571,0.053007742703990474,0.5490598290598291,0.47399936968168926,0.39295580110497236,0.6203921568627451,0.8782627725608786,0.3866087585957293,0.8660546941557336,0.26269315673289184,0.25001751577767356,0.26071428571428573,0.0,0.25001751577767356,0.17854283426741394,0.0,0.0354336773994762,0.07651991614255765,0.07142857142857142,0.03824877509088035,0.06314903171484704,0.8766709102482495,0.29818220931483275,0.8622150322484514,0.9361328737073018,0.38447478765724113,0.864841962545547
0,recall,0.39673527324343505,0.03158268275372605,0.5699077359829666,0.6047446722959389,0.22878970647366303,0.63610776035384,0.9516059495580944,0.2302651433498599,0.8765466695408494,0.0025652080189696056,1.0,0.0015736150032334554,0.0,1.0,0.01442121146798879,0.0,0.08161816891412349,0.1554293825408091,0.00035486160397445,0.0858765081618169,0.47906316536550747,0.9500323345548609,0.2987928432851908,0.873162319465402,0.9658978228066394,0.23125673636559604,0.8800172450959258
0,f1-score,0.4230041619371926,0.03958194351790082,0.5592895699111963,0.5314487632508833,0.2891994917407878,0.6281516775858645,0.9134645229374884,0.28862469602810054,0.8712690964410449,0.005080801827380826,0.4000224198812608,0.003128347975144632,0.0,0.4000224198812608,0.026686877954404928,0.0,0.04941454506391664,0.10255209552797939,0.0007062146892655367,0.05292509568069983,0.11158869234584229,0.9118785044795266,0.29848721399730826,0.8676541464511776,0.9507824518593179,0.2888024443756478,0.8723636130521187
0,support,2818.0,2818.0,2818.0,2487.0,2487.0,2487.0,46390.0,46390.0,46390.0,46390.0,46390.0,46390.0,46390.0,46390.0,46390.0,2818.0,2818.0,2818.0,2818.0,2818.0,2818.0,46390.0,46390.0,46390.0,46390.0,46390.0,46390.0
1,precision,0.336094674556213,0.0,0.4561107359891965,0.4433997743512599,0.0,0.5479827653740698,0.8636085022244192,0.0,0.8490570049541791,0.2781456953642384,0.0,0.0,0.0,0.0,0.155,0.0,0.0,0.06179992275009656,0.0,0.0,0.06000371540033438,0.8620266930301532,0.2847356664184661,0.8415559570623871,0.9264271755852147,0.0,0.8528477301319913
1,recall,0.21854559445940747,0.0,0.5198153135821469,0.4746376811594203,0.0,0.5632045088566827,0.9381201941664161,0.0,0.857682890158512,0.0009021006056961209,0.0,0.0,0.0,0.0,0.0006658361613471369,0.0,0.0,0.06156213928434013,0.0,0.0,0.2485571373605233,0.9364019072984234,0.16426822458009366,0.8503586923836934,0.9571502212294343,0.0,0.859057519652906
1,f1-score,0.26486360456982977,0.0,0.485883833842834,0.4584872642426599,0.0,0.555489378598372,0.8993236078366775,0.0,0.8533481498894101,0.0017983686227493632,0.0,0.0,0.0,0.0,0.0013259763035202532,0.0,0.0,0.06168080185042405,0.0,0.0,0.0966704077815189,0.8976763818681601,0.20834127870549457,0.84593442517868,0.9415381364884852,0.0,0.8559413621529077
1,support,2599.0,2599.0,2599.0,2484.0,2484.0,2484.0,46558.0,46558.0,46558.0,46558.0,46558.0,46558.0,46558.0,46558.0,46558.0,2599.0,2599.0,2599.0,2599.0,2599.0,2599.0,46558.0,46558.0,46558.0,46558.0,46558.0,46558.0
2,precision,0.35473196558570486,0.0,0.4367066895368782,0.45323741007194246,0.0,0.5530546623794212,0.863319773787082,0.0,0.8464845404489623,0.18629550321199143,0.0,0.26701967992714887,0.0,0.0,0.25213498508680526,0.0,0.0,0.04904789382573572,0.0,0.0,0.0686835650040883,0.862497765241056,0.2830248079586954,0.8422606405573019,0.9238370041309447,0.26828659102262187,0.8498831030818278
